,SAT,valid,dimacs_set,iteration,cmp_set,backtracks,uc_nodes,pl_nodes,splits
112,1,1,1000sudokus_63,0,least_constraining,0,729,0,0
113,1,1,1000sudokus_64,0,least_constraining,0,729,0,0
114,1,1,1000sudokus_65,0,least_constraining,1458,2132,0,55
115,1,1,1000sudokus_66,0,least_constraining,0,729,0,0
116,1,1,1000sudokus_67,0,least_constraining,6823,7345,0,207
117,1,1,1000sudokus_68,0,least_constraining,0,729,0,0
118,1,1,1000sudokus_69,0,least_constraining,0,729,0,0
119,1,1,1000sudokus_70,0,least_constraining,6864,7388,0,205
120,1,1,1000sudokus_71,0,least_constraining,762,1446,0,45
121,1,1,1000sudokus_72,0,least_constraining,1186,1862,0,53
122,1,1,1000sudokus_73,0,least_constraining,39533,39418,0,844
123,1,1,1000sudokus_74,0,least_constraining,0,729,0,0
124,1,1,1000sudokus_75,0,least_constraining,0,729,0,0
125,1,1,1000sudokus_76,0,least_constraining,0,729,0,0
126,1,1,1000sudokus_77,0,least_constraining,0,729,0,0
127,1,1,1000sudokus_78,0,least_constraining,6679,7182,0,226
128,1,1,1000sudokus_79,0,least_constraining,412,1116,0,25
129,1,1,1000sudokus_80,0,least_constraining,8124,8644,0,209
130,1,1,1000sudokus_81,0,least_constraining,3862,4489,0,102
131,1,1,1000sudokus_82,0,least_constraining,0,729,0,0
132,1,1,1000sudokus_83,0,least_constraining,5348,5921,0,156
133,1,1,1000sudokus_84,0,least_constraining,0,729,0,0
134,1,1,1000sudokus_85,0,least_constraining,415,1124,0,20
135,1,1,1000sudokus_86,0,least_constraining,385,1099,0,15
136,1,1,1000sudokus_87,0,least_constraining,0,729,0,0
137,1,1,1000sudokus_88,0,least_constraining,174,876,0,27
138,1,1,1000sudokus_89,0,least_constraining,360,1057,0,32
139,1,1,1000sudokus_90,0,least_constraining,1816,2483,0,62
140,1,1,1000sudokus_91,0,least_constraining,1940,2616,0,53
141,1,1,1000sudokus_92,0,least_constraining,7975,8477,0,227
142,1,1,1000sudokus_93,0,least_constraining,0,729,0,0
143,1,1,1000sudokus_94,0,least_constraining,0,729,0,0
144,1,1,1000sudokus_95,0,least_constraining,6504,7075,0,158
145,1,1,1000sudokus_96,0,least_constraining,408,1118,0,19
146,1,1,1000sudokus_97,0,least_constraining,713,1393,0,49
147,1,1,1000sudokus_98,0,least_constraining,2659,3303,0,85
148,1,1,1000sudokus_99,0,least_constraining,0,729,0,0
149,1,1,1000sudokus_100,0,least_constraining,0,729,0,0
150,1,1,1000sudokus_101,0,least_constraining,0,729,0,0
151,1,1,1000sudokus_102,0,least_constraining,2188,2846,0,71
152,1,1,1000sudokus_103,0,least_constraining,1081,1770,0,40
153,1,1,1000sudokus_104,0,least_constraining,0,729,0,0
154,1,1,1000sudokus_105,0,least_constraining,0,729,0,0
155,1,1,1000sudokus_106,0,least_constraining,0,729,0,0
156,1,1,1000sudokus_107,0,least_constraining,35851,35749,0,831
157,1,1,1000sudokus_108,0,least_constraining,63582,62754,0,1557
158,1,1,1000sudokus_109,0,least_constraining,0,729,0,0
159,1,1,1000sudokus_110,0,least_constraining,330,1035,0,24
160,1,1,1000sudokus_111,0,least_constraining,0,729,0,0
161,1,1,1000sudokus_112,0,least_constraining,5123,5731,0,121
162,1,1,1000sudokus_113,0,least_constraining,0,729,0,0
163,1,1,1000sudokus_114,0,least_constraining,7606,8134,0,201
164,1,1,1000sudokus_115,0,least_constraining,119,837,0,11
165,1,1,1000sudokus_116,0,least_constraining,489,1200,0,18
166,1,1,1000sudokus_117,0,least_constraining,0,729,0,0
167,1,1,1000sudokus_118,0,least_constraining,764,1473,0,20
168,1,1,1000sudokus_119,0,least_constraining,1814,2491,0,52
169,1,1,1000sudokus_120,0,least_constraining,1186,1880,0,35
170,1,1,1000sudokus_121,0,least_constraining,5883,6468,0,144
171,1,1,1000sudokus_122,0,least_constraining,39772,39424,0,1077
172,1,1,1000sudokus_123,0,least_constraining,766,1468,0,27
173,1,1,1000sudokus_124,0,least_constraining,5881,6474,0,136
174,1,1,1000sudokus_125,0,least_constraining,16431,16752,0,408
175,1,1,1000sudokus_126,0,least_constraining,0,729,0,0
176,1,1,1000sudokus_127,0,least_constraining,3917,4540,0,106
177,1,1,1000sudokus_128,0,least_constraining,3040,3691,0,78
178,1,1,1000sudokus_129,0,least_constraining,10351,10849,0,231
179,1,1,1000sudokus_130,0,least_constraining,696,1394,0,31
180,1,1,1000sudokus_131,0,least_constraining,2579,3255,0,53
181,1,1,1000sudokus_132,0,least_constraining,468,1173,0,24
182,1,1,1000sudokus_133,0,least_constraining,6656,7230,0,155
183,1,1,1000sudokus_134,0,least_constraining,0,729,0,0
184,1,1,1000sudokus_135,0,least_constraining,0,729,0,0
185,1,1,1000sudokus_136,0,least_constraining,1114,1810,0,33
186,1,1,1000sudokus_137,0,least_constraining,0,729,0,0
187,1,1,1000sudokus_138,0,least_constraining,937,1635,0,31
188,1,1,1000sudokus_139,0,least_constraining,2953,3598,0,84
189,1,1,1000sudokus_140,0,least_constraining,1872,2545,0,56
190,1,1,1000sudokus_141,0,least_constraining,10690,11111,0,308
191,1,1,1000sudokus_142,0,least_constraining,94,798,0,25
192,1,1,1000sudokus_143,0,least_constraining,1937,2610,0,56
193,1,1,1000sudokus_144,0,least_constraining,0,729,0,0
194,1,1,1000sudokus_145,0,least_constraining,6726,7303,0,152
195,1,1,1000sudokus_146,0,least_constraining,0,729,0,0
196,1,1,1000sudokus_147,0,least_constraining,17591,17806,0,514
197,1,1,1000sudokus_148,0,least_constraining,5027,5639,0,117
198,1,1,1000sudokus_149,0,least_constraining,0,729,0,0
199,1,1,1000sudokus_150,0,least_constraining,0,729,0,0
200,1,1,1000sudokus_151,0,least_constraining,1958,2631,0,56
201,1,1,1000sudokus_152,0,least_constraining,1261,1951,0,39
202,1,1,1000sudokus_153,0,least_constraining,6353,6929,0,153
203,1,1,1000sudokus_154,0,least_constraining,63,786,0,6
204,1,1,1000sudokus_155,0,least_constraining,0,729,0,0
205,1,1,1000sudokus_156,0,least_constraining,10342,10827,0,244
206,1,1,1000sudokus_157,0,least_constraining,10291,10809,0,211
207,1,1,1000sudokus_158,0,least_constraining,5307,5902,0,134
208,1,1,1000sudokus_159,0,least_constraining,0,729,0,0
209,1,1,1000sudokus_160,0,least_constraining,0,729,0,0
210,1,1,1000sudokus_161,0,least_constraining,0,729,0,0
211,1,1,1000sudokus_162,0,least_constraining,0,729,0,0
212,1,1,1000sudokus_163,0,least_constraining,24913,25058,0,584
213,1,1,1000sudokus_164,0,least_constraining,0,729,0,0
214,1,1,1000sudokus_165,0,least_constraining,2281,2942,0,68
215,1,1,1000sudokus_166,0,least_constraining,3206,3866,0,69
216,1,1,1000sudokus_167,0,least_constraining,615,1316,0,28
217,1,1,1000sudokus_168,0,least_constraining,11978,12428,0,279
218,1,1,1000sudokus_169,0,least_constraining,0,729,0,0
219,1,1,1000sudokus_170,0,least_constraining,0,729,0,0
220,1,1,1000sudokus_171,0,least_constraining,10040,10555,0,214
221,1,1,1000sudokus_172,0,least_constraining,2498,3165,0,62
222,1,1,1000sudokus_173,0,least_constraining,0,729,0,0
223,1,1,1000sudokus_174,0,least_constraining,2348,3005,0,72
224,1,1,1000sudokus_175,0,least_constraining,1120,1819,0,30
225,1,1,1000sudokus_176,0,least_constraining,341,1050,0,20
226,1,1,1000sudokus_177,0,least_constraining,3581,4211,0,99
227,1,1,1000sudokus_178,0,least_constraining,5769,6359,0,139
228,1,1,1000sudokus_179,0,least_constraining,0,729,0,0
229,1,1,1000sudokus_180,0,least_constraining,390,1091,0,28
230,1,1,1000sudokus_181,0,least_constraining,62381,61763,0,1347
231,1,1,1000sudokus_182,0,least_constraining,0,729,0,0
232,1,1,1000sudokus_183,0,least_constraining,0,729,0,0
233,1,1,1000sudokus_184,0,least_constraining,0,729,0,0
234,1,1,1000sudokus_185,0,least_constraining,1498,2154,0,73
235,1,1,1000sudokus_186,0,least_constraining,0,729,0,0
236,1,1,1000sudokus_187,0,least_constraining,802,1496,0,35
237,1,1,1000sudokus_188,0,least_constraining,0,729,0,0
238,1,1,1000sudokus_189,0,least_constraining,3534,4174,0,89
239,1,1,1000sudokus_190,0,least_constraining,88489,87166,0,2052
240,1,1,1000sudokus_191,0,least_constraining,1650,2319,0,60
241,1,1,1000sudokus_192,0,least_constraining,562,1253,0,38
242,1,1,1000sudokus_193,0,least_constraining,390,1082,0,37
243,1,1,1000sudokus_194,0,least_constraining,2605,3273,0,61
244,1,1,1000sudokus_195,0,least_constraining,0,729,0,0
245,1,1,1000sudokus_196,0,least_constraining,320,1034,0,15
246,1,1,1000sudokus_197,0,least_constraining,8872,9372,0,229
247,1,1,1000sudokus_198,0,least_constraining,8831,9322,0,238
248,1,1,1000sudokus_199,0,least_constraining,10721,11240,0,210
249,1,1,1000sudokus_200,0,least_constraining,0,729,0,0
250,1,1,damnhard_1,0,least_constraining,66636,65626,0,1739
251,1,1,damnhard_2,0,least_constraining,670039,650269,0,20499
252,1,1,damnhard_3,0,least_constraining,34987,34586,0,1130
